pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GO_RNA_BINDING	1.08E-05	0.001112895	0.335860978	3.257407994	0	374	"IFIT1,OAS1,OASL,IFIT2,DDX58,DDX60L,HERC5,IFIH1,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,PNPT1,SHFL,ISG20,SLIRP,DDX60,TDRD7,IFI16,SNRPG,RBM11,DHX58,MRPS18A,MRPS18C,TENT5A,MRPL22,RBM43,PIN4,PARP12,ADAR,GAR1,RBM7,CPEB2,PPIB,PHF5A,ZNFX1,RPL22L1,MAGOHB,FMR1,CISD2,COA6,MRPL32,TLR3,RAD51AP1,HSPA8,SNRPC,NME1,LACTB2,SUPT4H1,C1D,TRIR,PSMA6,ELAVL4,BOLL,MCTS1,MAGOH,HELZ2,BARD1,SPATS2L,TRIM25,EIF5AL1,APOBEC3G,SUMO2,EDF1,SNRPD1,HSPE1,LSM3,APOBEC3F,TBCA,CNP,SSBP1,ATP5F1C,RPF1,PYM1,SF3B6,SAP18,TENT4B,NOP10,ELAVL2,MRPL18,RPL35,TNPO1,SAMSN1,SSB,SNRPE,SUZ12,RPS27,MRPL42,MRPS30,GTPBP2,RPS26,CPEB4,MRPL13,NOC3L,TRMT1L,RO60,RPL26L1,APOBEC3B,DCN,EIF1AY,LSM5,H1-2,SUB1,SMNDC1,TOP1,SNRPB2,MRPL58,NOP16,RPL36,MRPL1,NUDT1,TRUB1,PAIP1,PINX1,EIF2S1,RPL12,UHMK1,RRP9,RPF2,MTIF3,RPS2,RAMAC,H4C15,H1-0,RPL37,C1orf52,EIF1AX,LSM8,SEC61B,RPL26,BAG4,SMN1,RPL28,TXN,THOC7,LSM6,DDX21,NIFK,MBNL1,MANF,SNRNP40,H4C11,LSM10,H4C3,RBM26,MRPL27,RPL30,HMGB2,RPS15,YTHDF3,PIWIL4,MRPL2,EIF3J,CHCHD1,OTUD4,RBM27,ZC3HAV1,SRP19,NAA15,FYTTD1,RPS27L,SUMO1,XRN1,EIF4E,DEK,EIF1B,MRPS28,RBMS3,HNRNPC,EIF5A2,RPS11,PNO1,RIDA,MRPS35,CWC15,RAN,RBM34,RNASEH2A,SAMHD1,RPS17,RPL27A,PABPC5,RPL38,PUS7L,PRPF40A,TRMT10C,EIF5A,DUSP11,MAK16,FAM98A,GTF2E2,FKBP3,NOSIP,FAM133B,RSL24D1,ZCCHC9,DIMT1,ERH,NHP2,CPEB3,MEX3C,SERBP1,MRPL3,TRA2B,CSTF2T,PABPC4L,C1orf131,NUDT21,KPNB1,MRPL54,DYNC1LI1,ZCRB1,TFAM,PHF6,SYNCRIP,RC3H2,SRP9,METTL14,QKI"
GO_B_CELL_ACTIVATION	1.42E-05	0.001112895	0.54203282	3.247614968	0	48	"BST2,TNFSF13B,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,MNDA,IFNA4,IFNW1,VCAM1,RIF1,ID2,SAMSN1,IL6,AHR,CD38,DNAJB9,SHLD3,KLF6,NBN"
GO_NATURAL_KILLER_CELL_ACTIVATION	1.59E-05	0.001112895	0.752893728	3.238381893	0	19	"IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1,ID2"
GO_CYTOKINE_RECEPTOR_BINDING	1.31E-05	0.001112895	0.455189921	3.229117912	0	84	"CXCL10,CCL8,CCL11,TNFSF13B,IL1RN,STAT1,GREM1,CCL2,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,STAP1,IFNA7,CXCL11,IFNA8,IFNL1,IFNA14,MYD88,IFNA2,CXCL3,CXCL8,IL27,TNFSF18,IFNA16,DEFB1,IFNA6,IFNA4,IFNW1,CXCL2,IL1RAP,CD2AP"
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	1.32E-05	0.001112895	0.462750097	3.227368579	0	79	"IFIT1,DDX58,HERC5,RSAD2,BST2,PARP9,DTX3L,C1R,DDX60,STAT1,C1S,CFB,IFNB1,DHX58,TRIM6,IFNL1,B2M,TREX1,IFNA2,TLR3,LGALS9,IL27,APOBEC3G,APOBEC3F,CD80,NR4A3,TRIM38,CFH,CGAS,RIF1,IL6,FFAR2,SHLD3,AIM2,CFI,BIRC3"
GO_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	1.23E-05	0.001112895	0.405549503	3.226211484	0	130	"IFIT1,DDX58,HERC5,USP18,IFIH1,PLSCR1,RSAD2,NMI,PARP9,IRF7,DTX3L,DDX60,IFI16,STAT1,IFNB1,PARP14,DHX58,ZBP1,TRIM6,CD274,PSMB9,ADAR,MYD88,TREX1,SOCS1,TLR3,PSMB8,LGALS9,PSMA4,IL27,UBE2D1,PSMA6,MNDA,LY96,TRIM5,APOBEC3G,PSME2,APOBEC3F,ACOD1,TRIM38,TICAM2,PSMD8,WDFY1,CGAS"
GO_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	1.45E-05	0.001112895	0.572071097	3.2247879	0	40	"PARP9,IFNA5,IFNB1,IFNA1,RET,PARP14,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,IFNA14,SOCS1,IFNA2,TNFSF18,IFNA16,IFNA6,IGF1,IFNA4,IFNW1,IL6,OSM,CYP1B1,IL6ST,JAK2"
GO_RIBONUCLEOPROTEIN_COMPLEX	1.19E-05	0.001112895	0.378019203	3.193799651	0	170	"TRIM21,PNPT1,SLIRP,SNRPG,MRPS18A,MRPS18C,MRPL22,MRPL17,ADAR,GAR1,CPEB2,PHF5A,MAGOHB,FMR1,MRPL32,HSPA8,SNRPC,PSMA6,ELAVL4,RPL39L,MCTS1,MAGOH,APOBEC3G,SNRPD1,LSM3,APOBEC3F,RPF1,MRPL36,SF3B6,NOP10,ELAVL2,MRPL18,RPL35,SSB,SNRPE,RPS27,MRPL42,MRPS30,RPS26,CPEB4,MRPS22,BCAS2,MRPL13,FAM207A,ZNF593,RO60,RPL26L1,LSM5,SMNDC1,SNRPB2,MRPL58,RHEB,MRPL47,RPL36,MRPL1,MRPL46,PPIH,EIF2S1,RPL12,RRP9,RPS2,RPL37,LSM8,RPL26,RPL28,PPIL1,LSM6,SNRNP40,LSM10,MRPL27,RPL30,RPS15,MRPL2,EIF3J,SRP19,MRPL19,RPS27L,EIF4E,EIF1B,MRPS28,RBMS3,MRPS36,HNRNPC,RPS11,MRPS35,CWC15,RPS17,RPL27A,PABPC5,RPL38,PRPF40A,TRMT10C,MAK16,MRPL33,PTGES3,RWDD1,RSL24D1,NHP2,CPEB3,MRPL3,TRA2B,PABPC4L,GAPDH,MALSU1,MRPL54,ZCRB1,SYNCRIP,SRP9,MRPL24,RPL32,LSM2,U2AF1,NAA38,NUFIP2,L1TD1,MRPS11,RPP21,MRPL14,RPL3L,RPLP1,SNRPF,RBMXL1,HNRNPH2,NSA2,RPL36A,RRP15,RPP30,MRPL11,DICER1,UTP23,SECISBP2L,PRPF4B,NIP7,RPP40,CALR,RBM3,SRP14,MRPS24,LARP4,MRPS33,RPL39,PABPC3,ALYREF,SNRPD2,RPL41,CDC5L,LSM1,KRR1,ZMAT5,RPS20,LARP7,WBP4"
GO_RIBOSOME	1.34E-05	0.001112895	0.471687345	3.193077701	0	71	"EIF2AK2,PNPT1,MRPS18A,MRPS18C,MRPL22,MRPL17,RPL22L1,FMR1,MRPL32,RPL39L,MCTS1,MRPL36,MRPL18,NDUFA7,RPL35,GADD45GIP1,RPS27,MRPL42,MRPS30,RPS26,MRPS22,MRPL13,RPL26L1,MRPL58,MRPL47,RPL36,MRPL1,MRPL46,RPL12,RPS2,RPL37,RPL26,RPL28,MRPL27,RPL30,RPS15,MRPL2,CHCHD1,MRPL19,RPS27L,MRPS28,MRPS36,RPS11,MRPS35,RPS17,RPL27A,RPL38,MRPL33,RSL24D1,MRPL3,MALSU1,MRPL54,MRPL24,MRPS23,RPL32,NUFIP2,MRPS11,MRPL14,RPL3L,RPLP1,RPL36A,DNAJC21,MRPL11,RBM3,MRPS24,LARP4,MRPS33,RPL39,AURKAIP1,RPL41"
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1.29E-05	0.001112895	0.426078533	3.120986892	0	94	"DDX58,IFIH1,RSAD2,EIF2AK2,IRF7,DDX60,IL1RN,IFI16,STAT1,MDK,DHX58,ZBP1,TRIM6,IFNL1,CD274,B2M,MYD88,POLR2K,ORM2,TLR3,LGALS9,IL27,MNDA,LY96,CD80,NR4A3,PTGS2,IL1RAP,CGAS,ORM1,IL6,FFAR2,AIM2,OSM,POLR3K,BIRC3,PDE4D,CYP1B1,LILRA5,IL6ST,HPSE,JAK2,FFAR3,SELENOK,IL7,DDX21,TYROBP,LUM,CCL19,HMGB2,RIPK2,HTR2B,TBC1D23,PANX1,ATF2,RORA,PQBP1,TMF1,CCL1,GAPDH,CASP1,HIF1A,POLR3G,POLR2F,CD86,LTA,IL10,ATF4,CYBA,ZBTB20,CCR7,LTB,MAP3K7,THBS1"
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS	1.55E-05	0.001112895	0.673244038	3.116118786	0	23	"IFIT1,DDX58,HERC5,PARP9,DTX3L,DDX60,STAT1,DHX58,TRIM6,IL27,APOBEC3G,APOBEC3F,TRIM38,CGAS,AIM2,BIRC3"
GO_INTERACTION_WITH_HOST	1.45E-05	0.001112895	0.535324172	3.06414382	0	42	"IFIT1,CLDN6,IFITM1,TRIM21,EIF2AK2,IFITM3,DYNLT1,ACE2,CHMP2B,IFNA2,CXCL8,LGALS9,TRIM5,IFITM2,TRIM25,KPNA5,CD80,TRIM38"
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	1.38E-05	0.001112895	0.481706647	3.050036394	0	57	"MRPS18A,MRPS18C,MRPL22,MRPL17,RPL22L1,MRPL32,RPL39L,MRPL36,MRPL18,NDUFA7,RPL35,RPS27,MRPL42,MRPS30,RPS26,MRPS22,MRPL13,RPL26L1,MRPL47,RPL36,MRPL1,MRPL46,RPL12,RPS2,RPL37,RPL26,RPL28,MRPL27,RPL30,RPS15,MRPL2,MRPL19,RPS27L,MRPS36,RPS11,MRPS35,RPS17,RPL27A,RPL38,MRPL33,RSL24D1,MRPL3,MRPL54,MRPL24,MRPS23,RPL32"
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1.10E-05	0.001112895	0.320599644	3.038507122	0	318	"IFIT1,ISG15,DDX58,HERC5,IFITM1,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,BST2,EIF2AK2,NMI,PARP9,IRF7,DTX3L,PTN,C1R,TNFSF13B,DDX60,IFI16,STAT1,C1S,GREM1,CCL2,CFB,MDK,IFNB1,PARP14,DHX58,STAP1,GBP1,ZBP1,TRIM6,IFNL1,CD274,PSMB9,CLEC2B,B2M,ADAR,MYD88,TREX1,SOCS1,PRELID1,IFNA2,ORM2,TLR3,PSMB8,CXCL8,LGALS9,PSMA4,NME1,IL27,TNFSF18,HAX1,UBE2D1,PSMA6,IGF1,MNDA,LY96,TRIM5,APOBEC3G,PSME2,APOBEC3F,ACOD1,CD80,NR4A3,TRIM38,TICAM2,SELENOS,PSMD8,ELF1,VCAM1,WDFY1,CFH,CGAS,FCGR1A,SOX11,RIF1,ID2,PSMA2,SAMSN1,ORM1,CCR1,IL6,AHR,CD38,FCGR1B,PSMA3,CCL25,CDC73,NME2,FFAR2,SHLD3,AIM2,S100A9,OSM,CFI,FPR3,RAB11FIP2,BIRC3,PDE4D,IFNL2,TWSG1,PSMD12,DPY30,IL6ST,DENND1B,THEMIS2,UNC93B1,CEACAM1,JAK2,FFAR3,SELENOK,ARPC3,H4C15,UBE2D3,MAP2K6,CTSL,PSMB6,IL7,CTSC,CD68,DDX21,TYROBP,CA2,H4C11,H4C3,CCL19,PSMB7,HMGB2,YTHDF3,OTUD4,GPR171,CCL20,TRAFD1,CCL7,SUMO1,PIK3AP1,RBCK1,SPPL2A"
GO_B_CELL_DIFFERENTIATION	1.52E-05	0.001112895	0.617340516	3.033428737	0	27	"IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1,VCAM1,ID2,DNAJB9,KLF6"
GO_CELLULAR_RESPONSE_TO_VIRUS	1.64E-05	0.001112895	0.791385419	3.025817384	0	14	"DDX58,IFIH1,IRF7,IFI6,DDX60,DHX58,TRIM6,ADAR,FMR1,LGALS9"
GO_RIBOSOMAL_SUBUNIT	1.37E-05	0.001112895	0.469135802	3.017181138	0	60	"MRPS18A,MRPS18C,MRPL22,MRPL17,MRPL32,RPL39L,MCTS1,MRPL36,MRPL18,RPL35,RPS27,MRPL42,MRPS30,RPS26,MRPS22,MRPL13,RPL26L1,MRPL58,MRPL47,RPL36,MRPL1,MRPL46,RPL12,RPS2,RPL37,RPL26,RPL28,MRPL27,RPL30,RPS15,MRPL2,MRPL19,RPS27L,MRPS28,MRPS36,RPS11,MRPS35,RPS17,RPL27A,RPL38,MRPL33,RSL24D1,MRPL3,MALSU1,MRPL54,MRPL24,RPL32,MRPS11,MRPL14,RPL3L,RPLP1,RPL36A,MRPL11,RBM3,MRPS24,LARP4,MRPS33,RPL39,RPL41,RPS20"
GO_T_CELL_ACTIVATION	1.31E-05	0.001112895	0.421957567	3.004612744	0	85	"RSAD2,TNFSF13B,CCL2,MDK,IFNA5,IFNB1,IFNA1,HSH2D,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,CD274,IFNA14,TREX1,SOCS1,PRELID1,IFNA2,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,IGF1,FKBP1B,AZI2,IFNA4,IFNW1,CD80,VCAM1,CGAS"
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	1.45E-05	0.001112895	0.524058995	2.999663035	0	42	"NDUFC2-KCTD14,COX7B,COA6,SDHB,NDUFB3,COX6C,ETFRF1,NDUFA12,CYCS,NDUFA7,UQCR10,NDUFAF2,NDUFB4,NDUFA6,NDUFV2,COX4I2,COX6A1,NDUFA5,COX5B,NDUFS6,NDUFB9,COX6B1,NDUFS4,NDUFA9,NDUFB10,NDUFA8,NDUFB1,NDUFS5,NDUFB8,COX4I1,DNAJC15,CDK1,BID,NDUFB7,NDUFA3,NDUFA1,NDUFA13"
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	1.42E-05	0.001112895	0.503938992	2.997732493	0	47	"NDUFC2-KCTD14,TIMM10,ATP5MF,SDHB,NDUFB3,C15orf48,ATP5F1C,NDUFA12,TIMM23,ATP5MD,ATP5PF,NDUFA7,UQCR10,NDUFB4,NDUFA6,NDUFV2,DNAJC19,COX4I2,COX6A1,NDUFA5,NDUFS6,ATP5F1E,NDUFB9,ATP5MPL,NDUFS4,NDUFA9,MCUB,NDUFB10,NDUFA8,NDUFB1,NDUFS5,MICU2,NDUFB8,COX4I1,DNAJC15,NDUFB7,ATP5PD,NDUFA3,NDUFA1,NDUFA13"
GO_REGULATION_OF_DEFENSE_RESPONSE	1.18E-05	0.001112895	0.350306045	2.977749645	0	175	"IFIT1,DDX58,HERC5,USP18,IFIH1,PLSCR1,RSAD2,NMI,PARP9,IRF7,DTX3L,DDX60,IFI16,STAT1,TNFAIP6,MDK,IFNB1,PARP14,DHX58,STAP1,ACE2,ZBP1,TRIM6,PSMB9,ADAR,MYD88,TREX1,SOCS1,TLR3,PSMB8,LGALS9,PSMA4,IL27,UBE2D1,PSMA6,IGF1,MNDA,LY96,TRIM5,APOBEC3G,PSME2,APOBEC3F,NR1D2,ACOD1,TRIM38,TICAM2,PTGS2,SELENOS,PSMD8,WDFY1,CGAS,RICTOR,PSMA2,IL6,PSMA3,FFAR2,AIM2,S100A9,OSM,RAB11FIP2,BIRC3,PSMD12,LILRA5,IL6ST,UNC93B1,CEACAM1,JAK2,FFAR3"
GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	1.25E-05	0.001112895	0.382971934	2.970688833	0	117	"IFIT1,DDX58,IFIH1,PLSCR1,RSAD2,TRIM21,PARP9,IRF7,DDX60,IFI16,IFNB1,DHX58,ZBP1,TRIM6,PSMB9,ADAR,PPIB,MYD88,POLR2K,FMR1,CHMP2B,TLR3,PSMB8,LGALS9,PSMA4,UBE2D1,SUPT4H1,PSMA6,MNDA,LY96,TRIM5,PSME2,ACOD1,TRIM38,TICAM2,PSMD8,WDFY1,CGAS,PSMA2,PSMA3,FFAR2,AIM2,S100A9,RAB11FIP2,BIRC3,PSMD12,UNC93B1,PPIH,GTF2F2,UBE2D3,MAP2K6,CTSL,PSMB6"
GO_LYMPHOCYTE_ACTIVATION	1.25E-05	0.001112895	0.385715232	2.965416452	0	113	"RSAD2,BST2,TNFSF13B,CCL2,MDK,IFNA5,IFNB1,IFNA1,HSH2D,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,CD274,IFNA14,TREX1,SOCS1,PRELID1,IFNA2,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,IGF1,FKBP1B,AZI2,MNDA,IFNA4,IFNW1,CD80,VCAM1,CGAS,SOX11,RIF1,ID2,SAMSN1,IL6,AHR,CD38,HPRT1,DNAJB9,SHLD3,KLF6,NBN,TWSG1,IL6ST"
GO_MITOCHONDRIAL_ENVELOPE	1.17E-05	0.001112895	0.338600537	2.945331667	0	195	"RSAD2,PNPT1,IFI6,NDUFC2-KCTD14,PMAIP1,TRIM14,MRPS18A,TMEM11,MRPS18C,MRPL22,COX7B,SLC25A28,IFI27,MRPL17,TIMM10,TOMM5,CISD2,COA4,COA6,PRELID1,ATP5MF,MRPL32,NME1,HAX1,SDHB,NDUFB3,COX6C,C15orf48,CNP,ATP5F1C,NDUFA12,TIMM23,CYCS,ATP5MD,MRPL36,ATP5PF,ACSL4,PRELID3B,MRPL18,NDUFA7,UQCR10,NDUFAF2,NDUFB4,MRPL42,MRPS30,ARMCX1,NDUFA6,COQ2,MRPS22,MRPL13,NME2,NDUFV2,BCL2A1,TOMM22,DNAJC19,MICU3,COX7A2,CHCHD4,CISD1,MRPL58,COX4I2,MRPL47,COX6A1,MRPL1,MRPL46,NDUFA5,MCL1,COX5B,TMEM126B,GJA1,NDUFS6,ATP5F1E,NDUFB9,PLN,TIMM8B,ATP5MPL,MAIP1,COX6B1,MPC1,NDUFS4,CIDEA,NDUFA9,COX17,AK2,MCUB,MRPL27,MTFP1,MRPL2,CHCHD1,NDUFB10,MRPL19,NDUFA8,MRPS28,MRPS36,RNF5,NDUFB1,NDUFS5,MICU2,NDUFB8,MRPS35,MPC2,SLC25A46,TMEM126A,PET100,COX4I1,ATF2,HIGD1A,FATE1,HCCS,DNAJC15,MRPL33,BAK1,BID,SLC8A3,MRPL3,BNIP1,DIABLO,NDUFB7,MRPL54,SDHAF3,SPART,MRPL24,MRPS23,ATP5PD,NDUFAF4,NDUFA3,NDUFA1,FIS1"
GO_REGULATION_OF_IMMUNE_RESPONSE	1.15E-05	0.001112895	0.33050143	2.938023155	0	218	"DDX58,IFITM1,USP18,IFIH1,PLSCR1,RSAD2,BST2,NMI,PARP9,IRF7,C1R,TNFSF13B,DDX60,IFI16,STAT1,C1S,CFB,IFNB1,PARP14,DHX58,STAP1,GBP1,ZBP1,TRIM6,IFNL1,CD274,PSMB9,CLEC2B,B2M,ADAR,MYD88,TREX1,SOCS1,IFNA2,TLR3,PSMB8,LGALS9,PSMA4,IL27,UBE2D1,PSMA6,MNDA,LY96,TRIM5,PSME2,ACOD1,CD80,NR4A3,TICAM2,SELENOS,PSMD8,ELF1,VCAM1,WDFY1,CFH,CGAS,FCGR1A,RIF1,PSMA2,SAMSN1,IL6,CD38,FCGR1B,PSMA3,FFAR2,SHLD3,AIM2,S100A9,CFI,FPR3,RAB11FIP2,BIRC3,PDE4D,IFNL2,PSMD12,IL6ST,DENND1B,THEMIS2,UNC93B1,CEACAM1,JAK2,FFAR3"
GO_RESPONSE_TO_INTERFERON_ALPHA	1.67E-05	0.001112895	0.815906022	2.935724785	0	12	"MX2,IFIT2,IFIT3,IFITM1,BST2,EIF2AK2,IFITM3,ADAR,IFITM2"
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1.15E-05	0.001112895	0.329975118	2.933344455	0	218	"ISG15,DDX58,IFIH1,PLSCR1,CXCL10,RSAD2,PARP9,IRF7,PTN,C1R,TNFSF13B,DDX60,IFI16,STAT1,C1S,CCL2,CFB,MDK,IFNB1,DHX58,STAP1,GBP1,ZBP1,TRIM6,IFNL1,CD274,PSMB9,B2M,MYD88,TREX1,SOCS1,TLR3,PSMB8,CXCL8,LGALS9,PSMA4,TNFSF18,HAX1,UBE2D1,PSMA6,IGF1,MNDA,LY96,TRIM5,PSME2,ACOD1,CD80,NR4A3,TICAM2,PSMD8,ELF1,VCAM1,WDFY1,CFH,CGAS,FCGR1A,RIF1,ID2,PSMA2,CCR1,IL6,CD38,PSMA3,FFAR2,SHLD3,AIM2,S100A9,CFI,FPR3,RAB11FIP2,BIRC3,PDE4D,IFNL2,PSMD12,IL6ST,DENND1B,THEMIS2,UNC93B1,CEACAM1,FFAR3,SELENOK,ARPC3,UBE2D3,MAP2K6,CTSL,PSMB6,IL7,CTSC,DDX21,TYROBP,CA2,CCL19,PSMB7,HMGB2,OTUD4,CCL20,CCL7,PIK3AP1,RBCK1,RIPK2,TRAT1,CXCL13,LILRB4,LAG3,PSMC3,KRAS,PQBP1,PSMA5,CCL1,MAD2L2,TIFA,CD47,PSMD14,PSMD7,NUDT21,KITLG,SOCS5,HIF1A,POLR3G,RC3H2,XCL2,CBFB,CSF3,KLF10,CD86,IFNL3,LTA,IL10,PSME1,UBE2K,PHB,ACTR3,S100A8,CYBA,GPR183,FPR1,SERPING1,RB1,UBB,MAP3K1,PSMB3,CCR7,FPR2,MAP3K7,THBS1,CTSK,WASL,SNX4,BIRC2,TBK1,PPP2R3C,LIF,PIK3CA,XIAP,XBP1,NFKBIA,EXOSC3,PSMC2,IKBKE,FZD5,ARPC5,ARPC2,CALR,CCL4,UBE2N,PSMA7,C3AR1,IL2RA,PSMF1,IL1B,CXCL14,DHX36,TNIP3,CASP8,LILRB2,PSMB10"
GO_RESPIRATORY_CHAIN_COMPLEX	1.50E-05	0.001112895	0.566092057	2.922530892	0	31	"NDUFC2-KCTD14,COX7B,SDHB,NDUFB3,C15orf48,NDUFA12,NDUFA7,UQCR10,NDUFB4,NDUFA6,NDUFV2,COX4I2,COX6A1,NDUFA5,NDUFS6,NDUFB9,COX6B1,NDUFS4,NDUFA9,NDUFB10,NDUFA8,NDUFB1,NDUFS5,NDUFB8,COX4I1,NDUFB7,NDUFA3,NDUFA1,NDUFA13"
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1.43E-05	0.001112895	0.496223622	2.910321635	0	45	"MDK,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,IFNA14,IFNA2,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,IFNA4,IFNW1,CD80,RIF1,IL6,SHLD3,NBN"
GO_RESPIRASOME	1.47E-05	0.001112895	0.534341036	2.907788113	0	36	"NDUFC2-KCTD14,COX7B,SDHB,NDUFB3,C15orf48,NDUFA12,CYCS,NDUFA7,UQCR10,NDUFB4,NDUFA6,NDUFV2,COX7A2,COX4I2,COX6A1,NDUFA5,NDUFS6,NDUFB9,COX6B1,NDUFS4,NDUFA9,NDUFB10,NDUFA8,NDUFB1,NDUFS5,NDUFB8,COX4I1,HIGD1A,NDUFB7,NDUFA3,NDUFA1,NDUFA13,UQCR11,STMP1,NDUFB5"
GO_ADAPTIVE_IMMUNE_RESPONSE	1.31E-05	0.001112895	0.408286085	2.907262887	0	85	"RSAD2,IRF7,C1R,TNFSF13B,C1S,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,CD274,IFNA14,B2M,TREX1,IFNA2,IL27,TNFSF18,IFNA16,IFNA6,IFNA4,IFNW1,CD80,TAP2,RIF1,SAMSN1,IL6,FCGR1B,HPRT1,RNF19B,SHLD3,CFI,NBN,IL6ST,DENND1B,UNC93B1,CEACAM1,JAK2"
GO_RECEPTOR_REGULATOR_ACTIVITY	1.25E-05	0.001112895	0.375812392	2.901577584	0	115	"CXCL10,CCL8,LY6E,CCL11,PTN,TNFSF13B,IL1RN,NAMPT,GREM1,CCL2,MDK,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,CXCL11,IFNA8,IFNL1,IFNA14,SPP1,SECTM1,FLRT3,IFNA2,CXCL3,CXCL8,IL27,TNFSF18,IFNA16,IFNA6,IGF1,IFNA4,IFNW1,CXCL2,IL6,FAM3C,FGF2,CCL25,EPHA7,CXCL5,OSM,LYPD1"
GO_HUMORAL_IMMUNE_RESPONSE	1.35E-05	0.001112895	0.433632752	2.897894778	0	68	"CXCL10,C1R,C1S,CCL2,CFB,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,CXCL11,IFNA8,IFNA14,IFNA2,CXCL3,CXCL8,IFNA16,DEFB1,IFNA6,IFNA4,IFNW1,ACOD1,CXCL2,CFH,LCN2,IL6,S100A9,CXCL5,CFI,KLK3,PDZD11"
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	1.46E-05	0.001112895	0.515276837	2.879686351	0	39	"NDUFC2-KCTD14,COX7B,COA6,NDUFB3,COX6C,NDUFA12,CYCS,NDUFA7,UQCR10,NDUFB4,NDUFA6,NDUFV2,COX4I2,COX6A1,NDUFA5,COX5B,NDUFS6,NDUFB9,COX6B1,NDUFS4,NDUFA9,NDUFB10,NDUFA8,NDUFB1,NDUFS5,NDUFB8,COX4I1,DNAJC15,CDK1,BID,NDUFB7,NDUFA3,NDUFA1,NDUFA13"
GO_LEUKOCYTE_DIFFERENTIATION	1.29E-05	0.001112895	0.393713548	2.876249007	0	93	"RSAD2,IRF7,BATF2,IFI16,MDK,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,IFNA14,SOCS1,PRELID1,IFNA2,TLR3,LGALS9,NME1,IL27,HAX1,IFNA16,IFNA6,AZI2,IFNA4,IFNW1,CD80,BATF3,UBD,VCAM1,ID2,CCR1,IL6,DNAJB9,NME2,KLF6"
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	1.50E-05	0.001112895	0.55648081	2.872911459	0	31	"COA4,NDUFB3,NDUFA12,NDUFA7,UQCR10,NDUFAF2,NDUFB4,NDUFA6,NDUFV2,NDUFA5,TMEM126B,NDUFS6,NDUFB9,NDUFS4,NDUFA9,COX17,NDUFB10,NDUFA8,NDUFB1,NDUFS5,NDUFB8,PET100,NDUFB7,SDHAF3,TFAM,NDUFAF4,NDUFA3,NDUFA1,NDUFA13"
GO_SINGLE_STRANDED_RNA_BINDING	1.53E-05	0.001112895	0.593213083	2.872238057	0	26	"DDX58,IFIH1,IFIT5,PNPT1,DDX60,RBM11,DHX58,RBM7,FMR1,SNRPC,LACTB2,SUPT4H1"
GO_ENTRY_INTO_HOST	1.52E-05	0.001112895	0.583694612	2.868102716	0	27	"CLDN6,IFITM1,TRIM21,IFITM3,DYNLT1,ACE2,IFNA2,CXCL8,LGALS9,TRIM5,IFITM2,TRIM25,CD80,TRIM38"
