SYMBOL	ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MAP7D2	ENSG00000184368	332.8750303	-1.670992156	0.301397961	-5.544138895	2.95E-08	2.95E-06
NA	ENSG00000255176	29.48791757	-1.669851505	0.576138291	-2.898351888	0.003751294	0.041679762
NA	ENSG00000249973	18.89727061	-1.669576005	0.553451321	-3.016662788	0.002555739	0.031361734
NME9	ENSG00000181322	1482.021107	-1.669344981	0.293069831	-5.696065597	1.23E-08	1.51E-06
PPIL6	ENSG00000185250	4161.016586	-1.66898613	0.338682552	-4.927877509	8.31E-07	4.69E-05
AK8	ENSG00000165695	2378.720875	-1.668490354	0.306732759	-5.439557099	5.34E-08	4.73E-06
KCNRG	ENSG00000198553	2358.318795	-1.665895201	0.323036625	-5.156985525	2.51E-07	1.72E-05
PART1	ENSG00000152931	538.4673532	-1.664117873	0.343905316	-4.838883829	1.31E-06	6.92E-05
NA	ENSG00000244668	103.4680078	-1.661082067	0.317346606	-5.234283391	1.66E-07	1.21E-05
ENO4	ENSG00000188316	697.6462644	-1.660549431	0.288692782	-5.751960335	8.82E-09	1.17E-06
TNNI3	ENSG00000129991	390.3000809	-1.659942355	0.426280985	-3.89400985	9.86E-05	0.002393352
USP2	ENSG00000036672	2311.32668	-1.655860784	0.333054912	-4.971735067	6.64E-07	3.91E-05
LINC00271	ENSG00000231028	156.40389	-1.655541033	0.276127204	-5.995573819	2.03E-09	3.77E-07
TMC3	ENSG00000188869	75.45751379	-1.655336893	0.443218091	-3.734813465	0.000187854	0.003973513
NA	ENSG00000260057	179.8259742	-1.654717948	0.361614757	-4.575913773	4.74E-06	0.000200436
TMEM212	ENSG00000186329	1333.028882	-1.651053745	0.284532633	-5.80268677	6.53E-09	9.20E-07
CLCA2	ENSG00000137975	2859.428206	-1.650947534	0.420650364	-3.924750042	8.68E-05	0.002160216
RADX	ENSG00000147231	1181.197277	-1.650657713	0.266375269	-6.196737846	5.76E-10	1.47E-07
GPC5-AS1	ENSG00000235984	180.4480987	-1.650523849	0.454285718	-3.633228571	0.000279897	0.005515175
CD24	ENSG00000272398	30746.21441	-1.649971612	0.318725906	-5.176772839	2.26E-07	1.56E-05
LOC105371267	ENSG00000277639	9285.876781	-1.649694444	0.318427468	-5.180754208	2.21E-07	1.53E-05
PPP1R32	ENSG00000162148	7193.460054	-1.646822284	0.332838698	-4.947808927	7.51E-07	4.34E-05
NA	ENSG00000253379	102.2084801	-1.644423181	0.525400883	-3.129844726	0.001748987	0.023605178
NA	ENSG00000244167	18.65419527	-1.641449258	0.511939949	-3.206331646	0.001344389	0.019226172
CLDN3	ENSG00000165215	4290.432316	-1.641209436	0.417260059	-3.933301064	8.38E-05	0.002097348
NA	ENSG00000275734	327.2628439	-1.640921029	0.492679921	-3.330602604	0.000866582	0.0136026
HHLA2	ENSG00000114455	4273.863744	-1.640351163	0.298415068	-5.496877797	3.87E-08	3.64E-06
CFAP53	ENSG00000172361	4254.225957	-1.639740929	0.290277631	-5.64887112	1.62E-08	1.88E-06
LINC00886	ENSG00000240875	470.296634	-1.635426074	0.242494267	-6.7441845	1.54E-11	8.69E-09
WDR63	ENSG00000162643	2569.630683	-1.634792818	0.312944039	-5.223914219	1.75E-07	1.26E-05
RSPH9	ENSG00000172426	4671.546876	-1.633554539	0.279950382	-5.83515738	5.37E-09	7.84E-07
SPATA18	ENSG00000163071	12131.4508	-1.632593029	0.301757986	-5.410272815	6.29E-08	5.39E-06
MORN3	ENSG00000139714	2224.004902	-1.630764999	0.399003318	-4.087096338	4.37E-05	0.001228004
NA	ENSG00000232862	289.7830665	-1.630334705	0.378072573	-4.312226858	1.62E-05	0.000538181
KIAA0319	ENSG00000137261	1349.677595	-1.630289897	0.291381506	-5.595035588	2.21E-08	2.40E-06
CELF3	ENSG00000159409	127.2582344	-1.630014013	0.33497871	-4.866022726	1.14E-06	6.13E-05
DNER	ENSG00000187957	553.7986874	-1.628789524	0.299717776	-5.434410819	5.50E-08	4.80E-06
LRRC37A5P	ENSG00000204173	62.83044744	-1.627458883	0.385209451	-4.224867477	2.39E-05	0.000751384
GIPR	ENSG00000010310	5964.29692	-1.626301523	0.405073991	-4.01482583	5.95E-05	0.001588673
SPATA17	ENSG00000162814	2395.155036	-1.62571501	0.321231707	-5.060879659	4.17E-07	2.63E-05
PTPRT	ENSG00000196090	4662.490584	-1.625494224	0.295113223	-5.508035894	3.63E-08	3.47E-06
CCDC181	ENSG00000117477	1808.446168	-1.625033122	0.292903544	-5.548014542	2.89E-08	2.92E-06
FAM81B	ENSG00000153347	3724.048697	-1.624830336	0.333514072	-4.87184942	1.11E-06	5.99E-05
TEKT3	ENSG00000125409	927.7681761	-1.623720085	0.309938315	-5.238849174	1.62E-07	1.18E-05
LRTOMT	ENSG00000184154	4777.632739	-1.620011757	0.267557255	-6.054822769	1.41E-09	2.85E-07
MARCHF10	ENSG00000173838	3460.95097	-1.616441938	0.301543688	-5.360556366	8.30E-08	6.73E-06
ERICH5	ENSG00000177459	905.3916052	-1.615555198	0.331041143	-4.880224806	1.06E-06	5.78E-05
SAXO2	ENSG00000188659	9647.873558	-1.613904219	0.317348217	-5.0855941	3.66E-07	2.37E-05
NEK5	ENSG00000197168	4254.631053	-1.612330742	0.29246186	-5.512960699	3.53E-08	3.41E-06
C9orf135	ENSG00000204711	1554.535351	-1.611568214	0.3406491	-4.730874719	2.24E-06	0.000106728
MCIDAS	ENSG00000234602	490.3716147	-1.611390619	0.41733308	-3.861161972	0.000112849	0.002671627
CNGA3	ENSG00000144191	120.1591872	-1.611204986	0.43249931	-3.725335394	0.000195056	0.004101726
NA	ENSG00000236751	49.4395061	-1.611001944	0.407404503	-3.954305685	7.68E-05	0.001955475
LMNTD1	ENSG00000152936	301.0008593	-1.610401573	0.348246901	-4.624309839	3.76E-06	0.000167232
LINC01942	ENSG00000253428	55.40137309	-1.609736531	0.362413994	-4.441706332	8.92E-06	0.000338063
TUBA3FP	ENSG00000161149	457.8173084	-1.608831034	0.307544229	-5.23121841	1.68E-07	1.22E-05
C16orf96	ENSG00000205832	272.1347012	-1.608815487	0.430866001	-3.73391143	0.000188529	0.003984851
AADACL2	ENSG00000197953	39.44408611	-1.608409721	0.406624749	-3.955513595	7.64E-05	0.00194907
NA	ENSG00000261207	29.43378403	-1.608146679	0.535210461	-3.004699637	0.002658432	0.03240091
BMPR1B	ENSG00000138696	664.7454183	-1.606226794	0.362796088	-4.427354226	9.54E-06	0.000353899
GSTA1	ENSG00000243955	8000.278818	-1.60444124	0.378388853	-4.24019161	2.23E-05	0.000708061
FAM230E	ENSG00000182824	26.34007949	-1.604011913	0.40213822	-3.988707947	6.64E-05	0.001737063
TTC23L	ENSG00000205838	352.8359947	-1.603982034	0.325134258	-4.933291381	8.09E-07	4.59E-05
ZNF474	ENSG00000164185	1316.961661	-1.603461689	0.392534178	-4.084897005	4.41E-05	0.001238484
DEUP1	ENSG00000165325	560.5725258	-1.601867563	0.298132895	-5.372998387	7.74E-08	6.36E-06
CCDC65	ENSG00000139537	3645.794999	-1.60155938	0.305112487	-5.249078446	1.53E-07	1.14E-05
LOC102725072	ENSG00000161103	160.1664474	-1.600856402	0.466986378	-3.428058025	0.000607916	0.010276154
KY	ENSG00000174611	22.12080525	-1.599587436	0.430237409	-3.717918068	0.000200871	0.004199481
C11orf52	ENSG00000149300	1519.964719	-1.598924544	0.354658582	-4.508348669	6.53E-06	0.000262687
RHBG	ENSG00000132677	28.75866959	-1.598538504	0.524815392	-3.04590629	0.002319801	0.029252054
FAM227A	ENSG00000184949	4198.1711	-1.597771059	0.306902637	-5.206117072	1.93E-07	1.37E-05
STK33	ENSG00000130413	6838.965614	-1.597733386	0.271225216	-5.890799567	3.84E-09	5.96E-07
GLB1L2	ENSG00000149328	4516.596296	-1.597525602	0.316184322	-5.05251365	4.36E-07	2.72E-05
ITLN1	ENSG00000179914	376.8978199	-1.597302125	0.457441985	-3.49181356	0.000479753	0.008525388
TMEM61	ENSG00000143001	241.3083855	-1.596104004	0.522072212	-3.057247577	0.002233797	0.028353856
TOGARAM2	ENSG00000189350	8672.551548	-1.595856246	0.336758937	-4.738868287	2.15E-06	0.000103808
LINC01607	ENSG00000272138	20.33023491	-1.595729561	0.527513784	-3.025000688	0.002486326	0.030793324
SPTBN2	ENSG00000173898	2191.842766	-1.594696354	0.460061294	-3.466269332	0.000527734	0.009207525
HES2	ENSG00000069812	608.0033741	-1.594218597	0.441054055	-3.614565106	0.000300852	0.005863868
NA	ENSG00000224093	83.08703711	-1.594046685	0.346969957	-4.594192239	4.34E-06	0.000186106
NA	ENSG00000280063	912.340262	-1.594040641	0.532149243	-2.99547667	0.002740163	0.033075536
NA	ENSG00000264527	2438.956506	-1.593711388	0.533531161	-2.987100855	0.002816368	0.033642158
NA	ENSG00000223723	31.87218625	-1.593466914	0.448045155	-3.55648732	0.000375847	0.007016778
LRRC56	ENSG00000161328	4918.339563	-1.592501438	0.496021802	-3.21054726	0.001324825	0.019012491
NA	ENSG00000267724	45.9922586	-1.591714632	0.563000521	-2.827199218	0.004695711	0.04928185
NA	ENSG00000261116	221.3984685	-1.58981567	0.299170948	-5.314071043	1.07E-07	8.34E-06
NA	ENSG00000258702	238.04541	-1.58938217	0.361094047	-4.401574007	1.07E-05	0.000390139
SAMD15	ENSG00000100583	442.621706	-1.589157731	0.373979705	-4.249315426	2.14E-05	0.000685873
AMY1C	ENSG00000187733	7170.427634	-1.587572526	0.276392096	-5.743914357	9.25E-09	1.21E-06
SMIM6	ENSG00000259120	1200.021782	-1.587312619	0.282571257	-5.617388815	1.94E-08	2.16E-06
NA	ENSG00000259871	211.0526651	-1.586941376	0.231942347	-6.841964807	7.81E-12	5.48E-09
PLAC1	ENSG00000170965	28.21918629	-1.586726173	0.475228036	-3.338873243	0.000841189	0.013283686
NA	ENSG00000239194	69.70237389	-1.586013674	0.318525107	-4.979242263	6.38E-07	3.78E-05
CCDC170	ENSG00000120262	8087.611134	-1.585894584	0.289307197	-5.48169765	4.21E-08	3.92E-06
ATP4B	ENSG00000186009	357.9927249	-1.584529875	0.368830696	-4.296090025	1.74E-05	0.000572588
NA	ENSG00000226472	30.70132571	-1.584221732	0.424120177	-3.735313289	0.000187482	0.003968545
FAM216B	ENSG00000179813	12044.49835	-1.58358738	0.343911431	-4.60463723	4.13E-06	0.00017907
NA	ENSG00000236936	39.04622631	-1.583570531	0.437343586	-3.620884312	0.000293598	0.005745814
RIIAD1	ENSG00000178796	716.2731794	-1.583526935	0.328266529	-4.823906172	1.41E-06	7.42E-05
OSBPL6	ENSG00000079156	8257.458236	-1.581739294	0.300497322	-5.263738405	1.41E-07	1.06E-05
WASIR2	ENSG00000231439	63.08998872	-1.581567675	0.408451088	-3.872110327	0.000107897	0.002579852
SMKR1	ENSG00000240204	388.3616881	-1.580033003	0.257441835	-6.13743685	8.39E-10	1.93E-07
TMEM52	ENSG00000178821	402.7242565	-1.578038711	0.407807671	-3.869566029	0.000109029	0.002596141
CASC2	ENSG00000177640	1240.197727	-1.577952829	0.28621415	-5.513189447	3.52E-08	3.41E-06
GAS8-AS1	ENSG00000221819	32.26111969	-1.577284625	0.499084289	-3.160357195	0.001575758	0.021783697
TGM3	ENSG00000125780	472.325689	-1.577103655	0.458131123	-3.4424722	0.000576423	0.009889195
KRT80	ENSG00000167767	1377.728968	-1.575777214	0.371668026	-4.239743809	2.24E-05	0.000708695
C6orf132	ENSG00000188112	3189.822933	-1.575534497	0.429296068	-3.670041762	0.000242511	0.00490267
DNAH6	ENSG00000115423	4316.618934	-1.574271532	0.318525586	-4.942370725	7.72E-07	4.43E-05
CCDC153	ENSG00000248712	2526.567208	-1.573981123	0.281127701	-5.598811912	2.16E-08	2.36E-06
LOC101928266	ENSG00000262966	72.57564757	-1.573972111	0.41768618	-3.768312638	0.000164355	0.003592593
BBOF1	ENSG00000119636	5795.210101	-1.573912219	0.247337136	-6.363428652	1.97E-10	6.31E-08
NA	ENSG00000267791	87.91235695	-1.573811045	0.453918704	-3.467165004	0.000525979	0.009193613
PRPH	ENSG00000135406	633.6782358	-1.573460241	0.475812331	-3.306892525	0.000943371	0.014515103
NA	ENSG00000258957	33.26004377	-1.572903532	0.448326566	-3.508387969	0.000450831	0.008121359
SERPINI2	ENSG00000114204	730.1493962	-1.571087293	0.328696375	-4.779752419	1.76E-06	8.83E-05
ATP2B3	ENSG00000067842	72.43044533	-1.570882123	0.483964062	-3.24586523	0.001170943	0.017172234
CFAP300	ENSG00000137691	2761.272327	-1.570784647	0.312801316	-5.02166892	5.12E-07	3.12E-05
ZSCAN4	ENSG00000180532	232.8510974	-1.569710877	0.408856929	-3.839266911	0.000123402	0.002876315
STMND1	ENSG00000230873	3507.24883	-1.569529266	0.32153732	-4.881328444	1.05E-06	5.76E-05
RAD51AP2	ENSG00000214842	32.06683299	-1.569501049	0.457195247	-3.432890127	0.000597184	0.010166608
KCNE1B	ENSG00000276289	782.772287	-1.568792	0.277851948	-5.646143615	1.64E-08	1.90E-06
SEC14L4	ENSG00000133488	660.7346458	-1.568689641	0.473746146	-3.311245179	0.000928818	0.01433297
TMEM184A	ENSG00000164855	3473.463562	-1.568416379	0.469791173	-3.338539478	0.000842201	0.013292364
MROH7-TTC4	ENSG00000271723	477.5688786	-1.568088447	0.475431461	-3.298242916	0.000972919	0.014866454
CYP11A1	ENSG00000140459	296.0622168	-1.565974855	0.294735231	-5.313158022	1.08E-07	8.36E-06
TTC25	ENSG00000204815	5571.652955	-1.56540225	0.325012129	-4.816442566	1.46E-06	7.66E-05
CDHR2	ENSG00000074276	163.6764205	-1.565064836	0.534192012	-2.929779554	0.003392025	0.038796039
CCDC189	ENSG00000196118	4842.935819	-1.564953457	0.319476921	-4.898486721	9.66E-07	5.34E-05
DNAH7	ENSG00000118997	3101.73587	-1.564245174	0.308767173	-5.066099349	4.06E-07	2.57E-05
NA	ENSG00000280435	82.89934422	-1.561090757	0.267241302	-5.84150258	5.17E-09	7.68E-07
NA	ENSG00000228791	69.19899422	-1.560435633	0.402900288	-3.873006991	0.000107501	0.002572512
AGR3	ENSG00000173467	9630.28478	-1.559822662	0.264270814	-5.902364473	3.58E-09	5.67E-07
NA	ENSG00000279879	27.17583571	-1.559818715	0.470605614	-3.314492368	0.000918097	0.01420977
NA	ENSG00000278022	21.84469405	-1.559755946	0.506101436	-3.081903815	0.002056813	0.026744141
STOX1	ENSG00000165730	1922.510678	-1.558626566	0.337898015	-4.612712998	3.97E-06	0.000173886
AGBL4	ENSG00000186094	251.1797061	-1.556702044	0.345912714	-4.50027415	6.79E-06	0.000269851
DPY19L2P2	ENSG00000170629	1934.064263	-1.556371657	0.336649225	-4.623125621	3.78E-06	0.000167672
TTC34	ENSG00000215912	932.171693	-1.55597669	0.398842336	-3.901232522	9.57E-05	0.002334857
ARHGAP39	ENSG00000147799	5631.889199	-1.555871617	0.481758135	-3.229569992	0.001239765	0.017998166
USP43	ENSG00000154914	3278.185076	-1.554962743	0.310704353	-5.004637781	5.60E-07	3.35E-05
NA	ENSG00000260806	645.2868404	-1.554587459	0.33473702	-4.644205353	3.41E-06	0.000154997
HABP2	ENSG00000148702	387.559506	-1.553726275	0.362696335	-4.283821271	1.84E-05	0.000599621
ST6GALNAC2	ENSG00000070731	8302.291496	-1.552931374	0.261474999	-5.939119927	2.87E-09	4.90E-07
LRRC18	ENSG00000165383	1559.075102	-1.552664103	0.279503446	-5.555080361	2.77E-08	2.86E-06
NA	ENSG00000255839	214.190456	-1.552148047	0.346258575	-4.48262703	7.37E-06	0.000289568
NA	ENSG00000275297	45.30519736	-1.552052426	0.369898765	-4.195884314	2.72E-05	0.000835865
NA	ENSG00000260183	66.19404599	-1.550445133	0.492211481	-3.149957267	0.001632943	0.02233215
NA	ENSG00000250989	116.3508702	-1.548788819	0.380735702	-4.067884386	4.74E-05	0.001309451
ZBTB7C	ENSG00000184828	2059.367269	-1.548545244	0.361649939	-4.281889962	1.85E-05	0.000604165
NA	ENSG00000255769	8217.539594	-1.548463814	0.486404064	-3.183492754	0.001455098	0.020413912
SPAG16-DT	ENSG00000196096	59.14585587	-1.547401644	0.396162245	-3.905979587	9.38E-05	0.002295322
GGT6	ENSG00000167741	2314.441463	-1.546722445	0.366551534	-4.219658911	2.45E-05	0.000767279
TPPP3	ENSG00000159713	68721.63213	-1.546294193	0.248933308	-6.211680578	5.24E-10	1.37E-07
TUBA4B	ENSG00000243910	5564.895322	-1.54577412	0.321338082	-4.810429287	1.51E-06	7.84E-05
NA	ENSG00000247311	139.8893767	-1.544941106	0.333598879	-4.631133983	3.64E-06	0.000162819
RNF213-AS1	ENSG00000263069	908.1182759	-1.544625487	0.283216598	-5.453866405	4.93E-08	4.45E-06
ACBD7	ENSG00000176244	206.3776019	-1.543373771	0.390473168	-3.952573183	7.73E-05	0.001964477
TTLL13P	ENSG00000213471	120.1690067	-1.542664193	0.377328728	-4.088382571	4.34E-05	0.001223666
LRRC6	ENSG00000129295	2080.9359	-1.542303678	0.246380319	-6.25984934	3.85E-10	1.10E-07
FBXW10	ENSG00000171931	501.7495269	-1.54151486	0.386898525	-3.984287254	6.77E-05	0.001766507
NA	ENSG00000279186	120.1687915	-1.537025542	0.282687038	-5.437198505	5.41E-08	4.74E-06
NA	ENSG00000279303	120.1687915	-1.537025542	0.282687038	-5.437198505	5.41E-08	4.74E-06
NA	ENSG00000279967	120.1687915	-1.537025542	0.282687038	-5.437198505	5.41E-08	4.74E-06
NA	ENSG00000256079	55.66828696	-1.536885211	0.470363401	-3.267442171	0.00108524	0.016204305
PPP1R36	ENSG00000165807	645.6984929	-1.53629424	0.388503766	-3.954387001	7.67E-05	0.001955475
CFAP126	ENSG00000188931	4580.578079	-1.534396691	0.348866889	-4.398229632	1.09E-05	0.000392241
RPRM	ENSG00000177519	161.5303407	-1.533483901	0.386299085	-3.969680387	7.20E-05	0.001861497
NA	ENSG00000250942	117.3284643	-1.53253972	0.241477858	-6.346502055	2.20E-10	6.89E-08
NA	ENSG00000261630	38.48231184	-1.529774523	0.460830541	-3.31960317	0.000901455	0.013997348
NA	ENSG00000214733	136.7253898	-1.529013659	0.398788757	-3.834144348	0.000126002	0.002924096
NA	ENSG00000259898	107.1478204	-1.52769911	0.343375488	-4.449062803	8.62E-06	0.00032929
ABHD12B	ENSG00000131969	75.2365394	-1.527562051	0.486504479	-3.139872534	0.001690214	0.022962656
LOC105371050	ENSG00000260874	92.22215592	-1.526605839	0.509036669	-2.999009565	0.002708588	0.03281769
AMY1A	ENSG00000237763	774.3368852	-1.526155694	0.433716671	-3.518784945	0.000433528	0.007889003
NA	ENSG00000261659	859.4175488	-1.525919332	0.368564918	-4.140164343	3.47E-05	0.001021583
NA	ENSG00000235370	202.0373532	-1.525681029	0.49751573	-3.066598575	0.002165094	0.027726302
MORN1	ENSG00000116151	3872.254357	-1.524872538	0.406854234	-3.747957891	0.00017828	0.003807366
NA	ENSG00000254980	23.76914995	-1.523981091	0.527444166	-2.889369508	0.003860152	0.042658753
LCA5L	ENSG00000157578	1099.422102	-1.523687202	0.346842103	-4.393028385	1.12E-05	0.000399255
C21orf58	ENSG00000160298	8869.634988	-1.522782287	0.345596916	-4.406238067	1.05E-05	0.000382802
USH2A	ENSG00000042781	55.77502554	-1.521157583	0.448696763	-3.390168393	0.000698497	0.0114462
DPY19L2P4	ENSG00000235436	376.8284056	-1.521115951	0.291592682	-5.216577935	1.82E-07	1.31E-05
SPATA4	ENSG00000150628	801.8006353	-1.520453175	0.382113369	-3.979063017	6.92E-05	0.001796003
NEXMIF	ENSG00000050030	142.6656297	-1.516682494	0.336634544	-4.505427391	6.62E-06	0.000265216
KIAA2012	ENSG00000182329	1427.698761	-1.516352265	0.462574715	-3.278069932	0.001045195	0.015703752
KIF21A	ENSG00000139116	6964.431922	-1.514678986	0.250594261	-6.044348271	1.50E-09	3.00E-07
TIGD4	ENSG00000169989	258.9330084	-1.512574913	0.336657094	-4.492924525	7.03E-06	0.000278185
PZP	ENSG00000126838	1350.567186	-1.511094793	0.332581454	-4.543532944	5.53E-06	0.000227504
IQCG	ENSG00000114473	7986.513516	-1.510858379	0.260441204	-5.801149579	6.59E-09	9.20E-07
SOX2-OT	ENSG00000242808	212.8506696	-1.510667794	0.305999779	-4.936826423	7.94E-07	4.54E-05
NA	ENSG00000273036	1073.208266	-1.510331063	0.371685018	-4.06347038	4.83E-05	0.001328106
NA	ENSG00000269916	851.1646265	-1.509539102	0.337387863	-4.474195035	7.67E-06	0.000299597
LOC541473	ENSG00000146722	361.2315156	-1.509094674	0.35766107	-4.219342844	2.45E-05	0.00076752
SRGAP3-AS2	ENSG00000228723	4114.15706	-1.507231813	0.340355193	-4.428408452	9.49E-06	0.000352629
CPEB1	ENSG00000214575	632.5546032	-1.507117341	0.295167461	-5.105973866	3.29E-07	2.19E-05
TMEM232	ENSG00000186952	2063.091001	-1.506849801	0.266257108	-5.659378686	1.52E-08	1.79E-06
NA	ENSG00000259251	131.3802877	-1.506505756	0.437385402	-3.44434393	0.000572447	0.0098327
ENKUR	ENSG00000151023	5796.115882	-1.506040596	0.330597901	-4.555505621	5.23E-06	0.00021678
NUP62CL	ENSG00000198088	345.080756	-1.50570458	0.27568029	-5.461778126	4.71E-08	4.29E-06
NA	ENSG00000269473	178.0503516	-1.505292644	0.33865791	-4.444876672	8.79E-06	0.000334436
SMIM31	ENSG00000248771	211.7569749	-1.504846346	0.455259393	-3.305470176	0.000948172	0.014557853
NPHS1	ENSG00000161270	50.63992727	-1.503917342	0.384021006	-3.916237177	8.99E-05	0.002220621
LOC107985317	ENSG00000161270	50.63992727	-1.503917342	0.384021006	-3.916237177	8.99E-05	0.002220621
LINC00908	ENSG00000266256	240.1281161	-1.503602076	0.295086774	-5.09545737	3.48E-07	2.29E-05
LINC00683	ENSG00000266256	240.1281161	-1.503602076	0.295086774	-5.09545737	3.48E-07	2.29E-05
TMEM40	ENSG00000088726	422.5861664	-1.50352617	0.530676392	-2.833226034	0.004608079	0.048556873
HNF4G	ENSG00000164749	143.1752893	-1.502789069	0.490474709	-3.063948131	0.002184368	0.02789866
LOC645485	ENSG00000246331	24.51116268	-1.502421483	0.4316795	-3.480409621	0.000500648	0.008831278
CHMP1B2P	ENSG00000278530	208.1126775	-1.502325517	0.240291427	-6.252097868	4.05E-10	1.10E-07
GRHL1	ENSG00000134317	2067.279028	-1.502020573	0.221658294	-6.776288613	1.23E-11	7.10E-09
WNK2	ENSG00000165238	2118.742176	-1.500646822	0.515782572	-2.909456239	0.003620581	0.040603536
GJB5	ENSG00000189280	251.5714021	-1.499763268	0.45269551	-3.312962543	0.000923133	0.014272376
HNF1A-AS1	ENSG00000241388	146.0293576	-1.49904882	0.426376088	-3.51579008	0.000438448	0.007953388
ASIC4	ENSG00000072182	37.16854289	-1.497642113	0.388863913	-3.851327064	0.000117479	0.002754071
ZPLD2P	ENSG00000236155	80.41050825	-1.496725696	0.445719902	-3.357996105	0.000785097	0.012570288
GBP6	ENSG00000183347	455.3820678	-1.495196133	0.497650562	-3.004510087	0.002660089	0.032407386
NA	ENSG00000233293	23.29097513	-1.49455645	0.50472318	-2.961140898	0.003065017	0.035868173
ANKK1	ENSG00000170209	581.0044204	-1.494044017	0.409501572	-3.648445134	0.000263832	0.00524893
KLK11	ENSG00000167757	6025.885934	-1.493275582	0.371794765	-4.016397544	5.91E-05	0.001581053
KIF19	ENSG00000196169	6796.2059	-1.490966464	0.459474769	-3.244936533	0.001174768	0.017219563
NA	ENSG00000228140	353.7305638	-1.490595312	0.287038454	-5.193016092	2.07E-07	1.46E-05
MLF1	ENSG00000178053	4890.985792	-1.490290142	0.257189323	-5.794525692	6.85E-09	9.44E-07
NA	ENSG00000231769	82.83347459	-1.489335192	0.36617592	-4.067266882	4.76E-05	0.001311667
CCDC30	ENSG00000186409	2135.910313	-1.489183319	0.255151042	-5.836477509	5.33E-09	7.83E-07
RPP38-DT	ENSG00000176236	265.6505911	-1.488976939	0.263405412	-5.652795539	1.58E-08	1.85E-06
FSIP1	ENSG00000150667	244.5526655	-1.488882502	0.301347641	-4.940747171	7.78E-07	4.46E-05
SPATA13	ENSG00000273167	26.41840054	-1.487831459	0.41381829	-3.595373856	0.000323926	0.006218477
CCDC157	ENSG00000187860	4054.98503	-1.48685789	0.381459988	-3.89780826	9.71E-05	0.002362106
WNT4	ENSG00000162552	1173.088754	-1.486804897	0.361327907	-4.114835493	3.87E-05	0.001116524
C6	ENSG00000039537	7005.038916	-1.485563269	0.337757668	-4.398311008	1.09E-05	0.000392241
CFAP54	ENSG00000188596	1341.203913	-1.484552927	0.280126845	-5.299573931	1.16E-07	8.91E-06
SLC9C2	ENSG00000162753	224.4307658	-1.483601813	0.266241204	-5.572397466	2.51E-08	2.67E-06
CCDC103	ENSG00000167131	1956.475896	-1.483558194	0.29976308	-4.949102448	7.46E-07	4.32E-05
ALDH3B1	ENSG00000006534	21377.38457	-1.480524276	0.378234653	-3.914300988	9.07E-05	0.00223086
TSNAXIP1	ENSG00000102904	3781.132794	-1.47976651	0.286119485	-5.171848084	2.32E-07	1.60E-05
CCDC103	ENSG00000214447	1718.318622	-1.47906756	0.26631104	-5.553910035	2.79E-08	2.86E-06
FAM187A	ENSG00000214447	1718.318622	-1.47906756	0.26631104	-5.553910035	2.79E-08	2.86E-06
NA	ENSG00000274002	65.2521135	-1.478158754	0.510654023	-2.894638417	0.003795955	0.042110965
ZNF295-AS1	ENSG00000237232	439.0096262	-1.478092026	0.491118506	-3.009644325	0.002615538	0.031945737
PCYT1B	ENSG00000102230	1613.514962	-1.476602376	0.316063993	-4.671846242	2.99E-06	0.000138157
NPC1L1	ENSG00000015520	66.81381957	-1.475901478	0.39707068	-3.716974211	0.000201623	0.004209081
AQP10	ENSG00000143595	132.6102351	-1.47537353	0.383523005	-3.846897084	0.000119623	0.002799766
SVOPL	ENSG00000157703	311.7549434	-1.474961437	0.334202004	-4.413382984	1.02E-05	0.000373176
ANO3	ENSG00000134343	71.08473814	-1.474808564	0.385663934	-3.824076955	0.000131263	0.003001427
AQP4-AS1	ENSG00000260372	486.429425	-1.473641426	0.423824428	-3.477009181	0.00050704	0.008916726
NA	ENSG00000231140	142.1031278	-1.4731237	0.380105985	-3.875560397	0.00010638	0.002549921
MISP3	ENSG00000141854	1267.308969	-1.472614084	0.392053036	-3.756160391	0.00017254	0.003715098
OSCP1	ENSG00000116885	4132.554019	-1.471100727	0.259017355	-5.679545019	1.35E-08	1.63E-06
HSPA4L	ENSG00000164070	1140.203894	-1.470709829	0.346029747	-4.250241027	2.14E-05	0.000684566
MSMP	ENSG00000215183	98.41484618	-1.470250372	0.501614625	-2.931035695	0.00337834	0.038670235
EFCAB6	ENSG00000186976	1592.205685	-1.469184664	0.30562388	-4.807165801	1.53E-06	7.94E-05
LINC01783	ENSG00000233421	208.5060913	-1.468446025	0.424318212	-3.460718825	0.000538735	0.009354106
GJB3	ENSG00000188910	291.3378532	-1.468017086	0.427891945	-3.430812627	0.000601776	0.01020255
LOC103171574	ENSG00000259774	139.2346025	-1.465605861	0.491930064	-2.979297199	0.002889104	0.034269274
SPHKAP	ENSG00000153820	65.09437871	-1.46454922	0.428144495	-3.420689134	0.000624627	0.010503363
RFX2	ENSG00000087903	11386.87258	-1.464461882	0.318582796	-4.596801516	4.29E-06	0.000184766
NA	ENSG00000272161	65.41901545	-1.463963789	0.347020325	-4.218668712	2.46E-05	0.000768981
ZC2HC1C	ENSG00000119703	1420.545983	-1.463669969	0.327560951	-4.468389675	7.88E-06	0.000305768
TCP11	ENSG00000124678	276.0089209	-1.461521412	0.441100746	-3.313350578	0.000921853	0.014260246
